Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
	404	not found					2		1		URL is empty	00:00.000		
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/monitoring/Burrowing_Owl_RCA_Board_12052005.pdf	404	not found			Burrowing Owl Presentation, October 2005		2		1			00:08.814	utf-8	
http://wrc-rca.org/library.asp?sort=132	404	not found			 		2		2	Apache/2.2.15 (CentOS)		00:05.709	utf-8	
http://wrc-rca.org/rcamaps/Habitat_Cons_Sum_20160713.pdf	404	not found			redir		3		1	Apache/2.2.15 (CentOS)		00:03.339	iso-8859-1	
tel://(951) 736-2372/	404	not found			(951) 736-2372		2		2			00:00.000	utf-8	
tel://(951) 955-1050/	404	not found			(951) 955-1050		2		2			00:00.000	utf-8	
tel://(951) 674-3124/	404	not found			(951) 674-3124		2		2			00:00.000	utf-8	
tel://(951) 694-6444/	404	not found			(951) 694-6444		2		2			00:00.000	utf-8	
tel://(951) 304-2489/	404	not found			(951) 304-2489		2		2			00:00.000	utf-8	
tel://(951) 677-7751/	404	not found			(951) 677-7751		2		2			00:00.000	utf-8	
tel://951-955-1020/	404	not found			951-955-1020		2		2			00:00.000	utf-8	
http://wrc-rca.org/2016_Exec/031616/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:03.058	utf-8	
http://wrc-rca.org/2016_Exec/031616/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:00.874	utf-8	
http://wrc-rca.org/images/Lloyd/lloyd.jpg	404	not found			"<img class=""alignnone"" src=""/images/Lloyd/lloyd.jpg"" alt="""" width=""1056"" height=""816"" />"		2		1	Apache/2.2.15 (CentOS)		00:02.995	utf-8	
http://wrc-rca.org/download/permit_docs/style.css	404	not found					4		2	Apache/2.2.15 (CentOS)		00:04.727		
http://wrc-rca.org/download/webimages/Footer_Contact.gif	404	not found			RCA Contact - Hours		4		6	Apache/2.2.15 (CentOS)		00:01.233		
http://wrc-rca.org/2016_Exec/042016/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:03.401	utf-8	
http://wrc-rca.org/2016_Exec/042016/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:03.292	utf-8	
http://wrc-rca.org/2016_Exec/061516/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:04.976	utf-8	
http://wrc-rca.org/2016_Exec/061516/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.928	utf-8	
http://wrc-rca.org/2016_Exec/061516/Agenda_Item_8_Staff_Report.pdf	404	not found					3		1	Apache/2.2.15 (CentOS)		00:02.356	utf-8	
http://wrc-rca.org/2016_Exec/061516/Agenda_Item_9_Staff_Report.pdf	404	not found					3		1	Apache/2.2.15 (CentOS)		00:02.215	utf-8	
http://wrc-rca.org/CANCELLATION%20NOTICE.docx	404	not found			<strong>View</strong>		3		1	Apache/2.2.15 (CentOS)		00:03.728	utf-8	
http://wrc-rca.orghttp//wrc-rca.org/wp-content/uploads/bautista-pic4.jpg	404	not found			"<img class=""alignleft"" src=""http://wrc-rca.orghttp://wrc-rca.org/wp-content/uploads/bautista-pic4.jpg"" alt="""" width=""1056"" height=""816"" />"		2		1		//' is always an error when checking remote URLs	00:00.000	utf-8	
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-015%20Amending%20Conflict%20of%20Interest%20Code.pdf	404	not found			<strong>Amending the Conflict of Interest Code Pursuant to the Political Reform Act of 1974</strong>		3		1			00:00.374	utf-8	
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-014%20Records%20Retention%20Policy%20and%20Schedule.pdf	404	not found			<strong>Adopting an Updated Records Retention Policy and Schedule and Repealing Resolution No. 08-012</strong>		3		1			00:03.619	utf-8	
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-003%20Fee%20Credit%20and%20Waiver%20Policy.pdf	404	not found			<strong>Revisiting the Fee Credit Waiver Policy Superseding and Replacing Resolution No. 05-05</strong>		3		1			00:00.234	utf-8	
